Drive,Total Size,Free Size
C:\Users\Joe\Documents\code\drive_scraper,476.31 GB,475.75 GB
File,Size,%
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2f\5ed3f10d7aecb08a1f134f763c5ac2d1bb2ac2,382.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\2f\d7235dcff2bcdc2e188ba5a78da6cbd636ab42,325.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\30\1440e1658415e7e60f1454d333b6bc9034bc65,2.58 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\246869bafdca62e6d375953aea5acd676fd116,914.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\38d98fc62d04139acbd64bc62174eea2e84ad1,235.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\63c5a7cbc88b1abaa89b90ca43725f581ce1b1,961.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\98fe3189ea424a1f7f23d903d7b34bf6bd36dc,387.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\d47eddc5821d1ad2e100b4738baa514f558596,336.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\31\ea9cb9ba2a8b4b04668383875c9437e5d8893d,198.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\32\28a97963d8aff2e3f9d62eedf965c5de5195d7,176.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\32\9db59a6ec26838d4341270ecc8a61905ba53f0,69.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\32\f21685ea031822a907ddf9ca50c170007e5aa4,437.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\32\ff7fabb2a53cfc125ebab633c421b6283cc7d3,375.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\33\347605100f23ae3c1800034f61ae17b6d00f2e,1.03 KB,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\33\5646cda91e8e11678066d4485b91d357a93a2d,144.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\33\6a63c451cc78f7522083fa3b49f19c7c6dd27b,906.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\33\d841ad999828949aab98f0ae8e48fb2cb9eb51,69.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\34\17cfe9c44085d76a0ab3a960bd98fa0854f97b,218.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\34\8dcf2305db8f15a578a8339c10878d0baeb4b2,214.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\34\9a00b93ae2479ba8fcde65a3c813005e4cc311,68.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\34\c30abdb71f0c38c870044953ffe4bb8a2da55f,232.0 B,0.0 %
C:\Users\Joe\Documents\code\drive_scraper\.git\objects\34\f9dc5833debc6513b26d523c0625c177cd9818,240.0 B,0.0 %
